Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
300.0,KJ Simpson,23.0,CHO,PG,14.0,2.0,15.9,2.2,6.4,0.348,0.9,2.8,0.308,1.4,3.6,0.38,0.416,0.7,1.1,0.625,0.4,1.7,2.1,2.5,1.1,0.0,1.7,1.0,6.0,
301.0,Dru Smith,28.0,MIA,SG,44.0,1.0,16.7,2.0,5.0,0.408,0.7,2.1,0.315,1.4,2.9,0.476,0.475,1.3,1.6,0.817,0.8,1.6,2.4,2.5,1.4,0.3,0.9,1.5,6.0,
302.0,Blake Wesley,22.0,POR,SG,6.0,0.0,16.3,2.3,5.7,0.412,0.3,1.7,0.2,2.0,4.0,0.5,0.441,1.0,1.7,0.6,0.3,2.0,2.3,3.2,1.7,0.2,1.2,2.3,6.0,
303.0,Robert Williams,28.0,POR,C,31.0,1.0,16.0,2.6,3.6,0.726,0.1,0.4,0.25,2.5,3.3,0.782,0.739,0.6,0.8,0.75,2.0,4.3,6.3,1.0,0.6,1.3,0.6,1.2,6.0,
304.0,Jase Richardson,20.0,ORL,SG,30.0,0.0,12.5,2.2,4.5,0.5,0.7,1.8,0.415,1.5,2.7,0.556,0.582,0.7,1.0,0.7,0.5,1.0,1.5,1.3,0.3,0.1,0.6,1.1,5.9,
305.0,Steven Adams,32.0,HOU,C,32.0,11.0,22.8,2.2,4.3,0.504,0.0,0.0,,2.2,4.3,0.504,0.504,1.5,2.5,0.58,4.5,4.1,8.6,1.5,0.7,0.6,1.1,1.7,5.8,
306.0,Paul Reed,26.0,DET,C,31.0,6.0,12.2,2.5,4.2,0.592,0.2,0.6,0.35,2.3,3.5,0.636,0.619,0.6,1.0,0.563,1.9,2.4,4.3,1.2,0.9,0.6,1.0,1.6,5.8,
307.0,Marcus Sasser,25.0,DET,PG,12.0,0.0,10.1,1.9,4.3,0.442,1.2,2.8,0.412,0.8,1.5,0.5,0.577,0.8,0.9,0.909,0.1,1.0,1.1,1.9,0.6,0.2,0.7,1.0,5.8,
308.0,Nolan Traor̩,19.0,BRK,PG,23.0,0.0,18.6,2.0,5.8,0.343,0.9,2.8,0.323,1.1,3.0,0.362,0.422,0.9,1.1,0.808,0.1,1.1,1.2,2.7,0.5,0.3,1.3,1.7,5.8,
309.0,Jordan Walsh,21.0,BOS,PF,39.0,20.0,19.0,2.2,4.0,0.558,0.7,1.7,0.433,1.5,2.3,0.652,0.651,0.6,0.8,0.806,1.3,3.2,4.5,0.9,0.9,0.5,0.5,2.3,5.8,
310.0,Yves Missi,21.0,NOP,C,39.0,7.0,18.8,2.4,4.4,0.543,0.0,0.0,0.0,2.4,4.4,0.547,0.543,0.7,1.3,0.592,3.0,2.6,5.5,1.2,0.3,1.3,0.8,1.7,5.6,
311.0,Josh Okogie,27.0,HOU,SG,43.0,27.0,19.9,2.0,4.4,0.444,0.9,2.3,0.396,1.0,2.0,0.5,0.55,0.7,1.1,0.646,1.1,1.6,2.7,0.9,1.0,0.2,0.7,1.6,5.6,
312.0,Dean Wade,29.0,CLE,PF,37.0,16.0,22.8,1.9,4.8,0.393,1.2,3.6,0.323,0.7,1.2,0.6,0.514,0.6,0.9,0.75,0.8,3.3,4.1,1.6,0.7,0.4,0.3,1.6,5.6,
313.0,Jaylin Williams,23.0,OKC,PF,31.0,4.0,18.0,1.7,4.8,0.365,1.1,3.7,0.304,0.6,1.1,0.576,0.483,1.0,1.3,0.732,0.5,4.1,4.6,2.5,0.6,0.5,1.0,2.0,5.6,
314.0,Eric Gordon,37.0,PHI,SG,6.0,0.0,12.3,2.0,3.5,0.571,1.3,2.3,0.571,0.7,1.2,0.571,0.762,0.2,0.3,0.5,0.2,0.2,0.3,0.5,0.7,0.2,0.5,0.5,5.5,
315.0,Oso Ighodaro,23.0,PHO,PF,45.0,7.0,20.1,2.4,3.9,0.616,0.0,0.0,0.0,2.4,3.9,0.619,0.616,0.6,1.3,0.5,1.4,3.0,4.4,1.8,1.0,0.6,1.2,2.6,5.5,
316.0,Cody Williams,21.0,UTA,SG,32.0,9.0,17.4,2.4,5.1,0.463,0.4,1.8,0.228,2.0,3.3,0.589,0.503,0.4,0.7,0.571,0.8,1.4,2.2,0.8,0.4,0.3,0.5,1.7,5.5,
317.0,Jevon Carter,30.0,CHI,PG,21.0,0.0,11.1,1.8,4.4,0.398,1.4,3.3,0.414,0.4,1.1,0.348,0.554,0.5,0.5,1.0,0.2,0.8,1.0,0.9,0.6,0.0,0.5,0.8,5.4,
318.0,Johnny Furphy,21.0,IND,SG,28.0,14.0,17.9,2.1,4.2,0.492,0.8,2.0,0.368,1.3,2.2,0.607,0.581,0.5,1.0,0.464,1.0,3.3,4.2,0.9,0.6,0.2,0.8,1.8,5.4,
319.0,Ben Saraf,19.0,BRK,SG,12.0,5.0,16.9,1.8,5.2,0.355,0.8,2.8,0.273,1.1,2.4,0.448,0.427,1.0,1.3,0.8,0.4,1.2,1.6,2.8,0.7,0.3,1.9,1.3,5.4,
320.0,Pat Spencer,29.0,GSW,PG,30.0,3.0,13.7,2.1,5.1,0.408,0.6,1.6,0.362,1.5,3.5,0.429,0.464,0.7,0.8,0.875,0.6,1.3,2.0,3.0,0.6,0.0,0.9,1.1,5.4,
321.0,Nique Clifford,23.0,SAC,SG,42.0,3.0,18.5,2.0,5.0,0.401,0.7,2.3,0.292,1.4,2.8,0.491,0.467,0.5,0.8,0.676,0.7,2.2,2.9,1.3,0.5,0.3,1.1,1.9,5.3,
322.0,Keon Ellis,26.0,SAC,SG,39.0,5.0,17.3,1.8,4.7,0.384,1.2,3.2,0.357,0.7,1.5,0.441,0.505,0.5,0.8,0.633,0.4,1.0,1.3,0.6,1.1,0.5,0.5,1.6,5.3,
323.0,Noah Penda,21.0,ORL,SF,28.0,2.0,14.1,1.9,4.1,0.457,0.8,1.7,0.447,1.1,2.5,0.464,0.547,0.7,1.2,0.606,1.6,2.4,4.0,1.3,0.6,0.5,0.8,1.4,5.3,
324.0,Will Riley,19.0,WAS,SF,35.0,0.0,14.0,1.9,4.7,0.409,0.5,1.8,0.254,1.5,2.9,0.505,0.457,1.0,1.3,0.8,0.7,1.3,2.0,1.1,0.4,0.1,0.8,0.7,5.3,
325.0,Drew Eubanks,28.0,SAC,C,30.0,11.0,14.0,2.2,3.7,0.6,0.0,0.1,0.25,2.2,3.5,0.613,0.605,0.8,1.4,0.558,0.8,1.9,2.7,0.3,0.4,0.6,0.8,1.4,5.2,
326.0,Garrison Mathews,29.0,IND,SG,15.0,1.0,13.1,1.4,3.5,0.404,1.1,3.1,0.37,0.3,0.4,0.667,0.567,1.3,1.5,0.826,0.1,1.0,1.1,0.7,0.4,0.2,0.2,1.3,5.2,
327.0,Asa Newell,20.0,ATL,PF,33.0,0.0,10.6,2.0,3.6,0.558,0.8,1.7,0.439,1.3,1.9,0.667,0.663,0.3,0.6,0.55,0.8,1.1,1.9,0.5,0.4,0.3,0.5,1.6,5.2,
