Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
243.0,Isaiah Hartenstein,27.0,OKC,C,24.0,24.0,645.0,19.6,0.656,0.022,0.317,14.4,27.0,21.0,15.1,2.0,2.8,19.6,17.1,1.3,1.6,2.9,0.216,0.7,2.2,2.9,0.8,
244.0,Aaron Gordon,30.0,DEN,PF,23.0,20.0,642.0,20.5,0.632,0.385,0.399,5.5,18.8,12.5,13.4,1.2,0.6,7.0,23.5,1.8,0.5,2.3,0.169,3.8,-1.1,2.7,0.7,
245.0,Nikola JoviÄ,22.0,MIA,PF,34.0,1.0,641.0,10.0,0.49,0.531,0.318,2.9,17.8,10.2,18.8,1.6,1.8,16.9,21.3,-0.7,0.8,0.1,0.008,-3.3,0.4,-2.9,-0.2,
246.0,Lonzo Ball,28.0,CLE,PG,30.0,3.0,636.0,9.8,0.436,0.826,0.124,4.2,15.8,9.9,23.9,2.8,1.2,20.9,14.0,-0.3,0.8,0.6,0.042,-2.7,1.4,-1.3,0.1,
247.0,Micah Peavy,24.0,NOP,SG,39.0,1.0,627.0,9.3,0.46,0.37,0.075,6.3,9.1,7.7,9.7,2.2,0.9,5.5,14.5,0.1,0.2,0.3,0.023,-3.7,-1.1,-4.8,-0.4,
248.0,Ochai Agbaji,25.0,TOR,SG,38.0,13.0,627.0,7.6,0.495,0.386,0.163,5.3,10.8,8.0,6.0,1.3,1.7,8.7,13.2,0.0,0.7,0.7,0.051,-4.8,0.0,-4.8,-0.4,
249.0,Brook Lopez,37.0,LAC,C,37.0,7.0,627.0,9.8,0.506,0.733,0.118,2.5,14.8,8.9,7.4,1.4,5.4,11.4,18.6,-0.5,0.6,0.1,0.01,-2.8,-0.1,-2.9,-0.1,
250.0,Anthony Davis,32.0,DAL,PF,20.0,20.0,626.0,21.7,0.551,0.111,0.243,10.8,26.1,18.7,14.9,1.7,4.4,10.0,27.6,0.4,1.2,1.6,0.12,1.4,1.1,2.6,0.7,
251.0,Vince Williams Jr.,25.0,MEM,PG,29.0,11.0,625.0,10.1,0.469,0.604,0.161,3.8,15.6,9.7,28.7,1.6,2.0,19.1,19.0,-0.4,0.7,0.3,0.024,-2.2,1.1,-1.2,0.1,
252.0,Sam Merrill,29.0,CLE,SG,24.0,15.0,619.0,15.0,0.676,0.813,0.148,2.7,7.2,5.0,12.6,1.3,0.4,8.2,17.8,1.5,0.4,1.9,0.144,2.1,-1.0,1.1,0.5,
253.0,Jaxson Hayes,25.0,LAL,C,35.0,4.0,615.0,15.8,0.761,0.009,0.547,10.0,16.5,13.4,6.3,0.9,3.2,12.1,11.6,1.6,0.5,2.0,0.16,-0.5,-0.2,-0.7,0.2,
254.0,Drake Powell,20.0,BRK,SG,32.0,6.0,614.0,9.2,0.572,0.494,0.228,1.1,8.7,4.7,13.4,1.6,0.7,14.4,14.8,0.2,0.3,0.5,0.035,-3.8,-0.5,-4.4,-0.4,
255.0,Caris LeVert,31.0,DET,SG,31.0,0.0,612.0,11.8,0.541,0.49,0.26,1.5,8.5,5.1,19.3,2.2,3.2,16.2,18.2,0.1,1.0,1.0,0.082,-1.4,1.4,0.0,0.3,
