Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 26_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
89.0,Santi Aldama,25.0,MEM,PF,41.0,9.0,1147.0,0.478,0.573,0.349,0.552,0.673,0.572,0.236,0.423,102.0,105.0,97.0,101.0,86.0,98.0,88.0,102.0,7.3,-8.8,
90.0,Bam Adebayo,28.0,MIA,C,37.0,37.0,1144.0,0.45,0.493,0.35,0.503,0.776,0.546,0.296,0.304,96.0,90.0,97.0,92.0,99.0,94.0,111.0,73.0,-43.1,-40.6,
91.0,Stephen Curry,37.0,GSW,PG,36.0,36.0,1141.0,0.47,0.586,0.392,0.588,0.928,0.635,0.259,0.601,100.0,107.0,109.0,108.0,118.0,109.0,97.0,145.0,61.1,84.9,
92.0,Jaylon Tyson,23.0,CLE,SG,41.0,26.0,1134.0,0.512,0.553,0.459,0.612,0.742,0.627,0.159,0.435,109.0,101.0,128.0,113.0,94.0,108.0,59.0,105.0,56.6,41.3,
93.0,Sion James,23.0,CHO,SG,45.0,18.0,1131.0,0.384,0.416,0.362,0.491,0.873,0.553,0.324,0.594,82.0,76.0,101.0,90.0,111.0,95.0,121.0,143.0,-23.2,-13.6,
94.0,Ajay Mitchell,23.0,OKC,SG,43.0,9.0,1129.0,0.487,0.545,0.35,0.539,0.87,0.59,0.287,0.3,104.0,100.0,98.0,99.0,111.0,102.0,107.0,72.0,-3.9,9.6,
95.0,John Collins,28.0,LAC,PF,41.0,32.0,1128.0,0.559,0.629,0.427,0.633,0.807,0.658,0.221,0.348,119.0,115.0,119.0,116.0,103.0,113.0,82.0,84.0,67.1,64.0,
96.0,Bruce Brown,29.0,DEN,SG,46.0,2.0,1121.0,0.453,0.491,0.323,0.49,0.774,0.523,0.216,0.226,97.0,90.0,90.0,90.0,98.0,90.0,81.0,55.0,-31.1,-35.9,
97.0,Stephon Castle,21.0,SAS,PG,36.0,36.0,1117.0,0.451,0.529,0.282,0.496,0.721,0.554,0.502,0.316,96.0,97.0,78.0,91.0,92.0,95.0,188.0,76.0,-43.4,-29.0,
98.0,Paolo Banchero,23.0,ORL,PF,33.0,33.0,1115.0,0.453,0.509,0.276,0.486,0.76,0.553,0.484,0.238,97.0,93.0,77.0,89.0,97.0,95.0,181.0,58.0,-59.1,-34.8,
99.0,OG Anunoby,28.0,NYK,PF,34.0,33.0,1111.0,0.453,0.551,0.339,0.531,0.803,0.578,0.318,0.465,96.0,101.0,94.0,98.0,102.0,100.0,119.0,112.0,-10.0,-2.3,
100.0,Nikola JokiÄ,30.0,DEN,C,32.0,32.0,1106.0,0.605,0.67,0.435,0.665,0.853,0.713,0.425,0.275,129.0,122.0,121.0,122.0,109.0,123.0,159.0,66.0,136.0,176.2,
101.0,Kyle Kuzma,30.0,MIL,PF,42.0,18.0,1102.0,0.493,0.569,0.314,0.54,0.73,0.574,0.303,0.301,105.0,104.0,87.0,99.0,93.0,99.0,113.0,73.0,-3.2,-6.1,
102.0,Deandre Ayton,27.0,LAL,C,38.0,38.0,1096.0,0.681,0.681,,0.681,0.636,0.684,0.188,0.0,145.0,124.0,,125.0,81.0,118.0,70.0,0.0,96.3,78.7,
103.0,Zach LaVine,30.0,SAC,SG,34.0,33.0,1096.0,0.486,0.565,0.399,0.581,0.866,0.621,0.247,0.474,104.0,103.0,111.0,107.0,110.0,107.0,92.0,114.0,35.9,42.7,
104.0,De'Andre Hunter,28.0,CLE,SF,41.0,23.0,1081.0,0.42,0.53,0.306,0.496,0.879,0.553,0.292,0.491,90.0,97.0,85.0,91.0,112.0,95.0,109.0,118.0,-43.5,-28.3,
105.0,Keldon Johnson,26.0,SAS,SF,45.0,0.0,1079.0,0.556,0.632,0.406,0.624,0.788,0.655,0.288,0.337,118.0,116.0,113.0,115.0,100.0,113.0,108.0,81.0,66.1,68.7,
106.0,Anfernee Simons,26.0,BOS,SG,44.0,0.0,1078.0,0.433,0.486,0.394,0.546,0.884,0.572,0.138,0.575,92.0,89.0,110.0,100.0,112.0,99.0,52.0,139.0,2.4,-8.6,
107.0,Jarace Walker,22.0,IND,PF,46.0,14.0,1075.0,0.381,0.401,0.363,0.476,0.768,0.514,0.245,0.518,81.0,73.0,101.0,87.0,98.0,89.0,92.0,125.0,-52.9,-57.0,
108.0,Moses Moody,23.0,GSW,SG,44.0,33.0,1073.0,0.43,0.5,0.394,0.561,0.797,0.587,0.186,0.665,92.0,91.0,110.0,103.0,101.0,101.0,70.0,160.0,12.6,5.1,
