Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
54.0,Anthony Edwards,24.0,MIN,SG,36.0,36.0,1266.0,0.495,15.5,0.586,0.195,0.16,0.126,0.105,0.414,0.557,0.772,0.454,0.479,0.41,0.406,0.342,0.576,0.05,34.0,0.091,0.429,0.0,0.0,
55.0,Shaedon Sharpe,22.0,POR,SG,42.0,36.0,1265.0,0.455,13.8,0.662,0.253,0.191,0.104,0.114,0.338,0.515,0.724,0.414,0.367,0.356,0.339,0.429,0.54,0.075,47.0,0.105,0.333,0.0,0.0,
56.0,Jaren Jackson Jr.,26.0,MEM,C,41.0,41.0,1252.0,0.479,12.7,0.682,0.154,0.367,0.156,0.005,0.318,0.533,0.565,0.566,0.441,0.0,0.363,0.581,0.971,0.022,10.0,0.242,0.391,0.0,0.0,
57.0,Jeremiah Fears,19.0,NOP,PG,47.0,44.0,1238.0,0.435,11.3,0.733,0.336,0.235,0.11,0.053,0.267,0.475,0.626,0.323,0.403,0.333,0.325,0.381,0.694,0.025,13.0,0.106,0.438,0.0,0.0,
58.0,Noah Clowney,21.0,BRK,PF,43.0,36.0,1237.0,0.388,18.0,0.363,0.113,0.199,0.041,0.011,0.637,0.509,0.68,0.432,0.556,0.0,0.319,0.622,1.0,0.043,14.0,0.266,0.44,0.0,0.0,
59.0,Brandin Podziemski,22.0,GSW,SG,46.0,14.0,1233.0,0.463,17.1,0.512,0.134,0.157,0.137,0.083,0.488,0.529,0.707,0.588,0.39,0.361,0.393,0.538,0.747,0.007,2.0,0.171,0.528,0.0,0.0,
60.0,Wendell Carter Jr.,26.0,ORL,C,41.0,41.0,1233.0,0.509,13.3,0.603,0.311,0.143,0.1,0.049,0.397,0.611,0.78,0.38,0.486,0.471,0.353,0.744,1.0,0.169,51.0,0.36,0.36,0.0,0.0,
61.0,Alperen ÅengÃ¼n,23.0,HOU,C,36.0,36.0,1232.0,0.508,9.2,0.868,0.271,0.386,0.158,0.053,0.132,0.54,0.709,0.489,0.457,0.29,0.299,0.414,0.87,0.07,35.0,0.091,0.429,0.0,0.0,
62.0,Bub Carrington,20.0,WAS,PG,43.0,16.0,1227.0,0.398,20.0,0.407,0.06,0.129,0.096,0.121,0.593,0.392,0.5,0.234,0.514,0.409,0.403,0.362,0.747,0.016,4.0,0.139,0.333,0.0,0.0,
63.0,Matas Buzelis,21.0,CHI,PF,44.0,44.0,1226.0,0.478,13.1,0.54,0.374,0.142,0.018,0.006,0.46,0.581,0.643,0.471,0.111,0.667,0.357,0.568,0.938,0.093,40.0,0.313,0.324,0.0,0.0,
