Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
77,Joe Harris,SF,31,BRK,4,0,44,2.4,15.8,.154,1.2,14.6,.083,1.2,1.2,1.000,2.4,2.4,1.000,0.0,6.1,6.1,0.0,2.4,0.0,3.6,6.1,8.5,,43,114
78,Tobias Harris,SF,30,PHI,11,11,392,9.4,18.0,.522,2.0,5.5,.366,7.4,12.5,.591,1.7,2.0,.867,2.3,8.4,10.7,2.4,0.9,0.8,1.1,3.8,22.5,,123,115
79,Shaquille Harrison,SG,29,LAL,8,0,28,7.0,12.2,.571,1.7,1.7,1.000,5.2,10.5,.500,1.7,3.5,.500,0.0,5.2,5.2,15.7,3.5,0.0,0.0,5.2,17.5,,156,110
80,Josh Hart,SF,27,NYK,11,5,353,6.7,13.9,.479,1.5,4.7,.313,5.2,9.2,.565,2.1,3.3,.636,2.7,9.3,12.0,3.5,1.3,0.4,3.1,5.6,16.9,,107,108
81,Isaiah Hartenstein,C,24,NYK,11,0,220,2.6,5.5,.478,0.0,0.0,,2.6,5.5,.478,2.8,3.8,.750,5.5,6.6,12.1,3.3,2.1,3.6,1.2,6.9,8.1,,133,104
82,Udonis Haslem,C,42,MIA,2,0,3,0.0,50.8,.000,0.0,16.9,.000,0.0,33.8,.000,0.0,0.0,,0.0,16.9,16.9,0.0,0.0,0.0,0.0,0.0,0.0,,0,111
83,Sam Hauser,SF,25,BOS,15,0,104,4.9,14.1,.345,3.9,11.7,.333,1.0,2.4,.400,1.0,1.0,1.000,2.4,5.8,8.3,1.9,0.5,1.0,0.0,3.9,14.6,,118,117
84,Tyler Herro,SG,23,MIA,1,1,19,13.4,24.0,.556,5.3,10.7,.500,8.0,13.4,.600,0.0,0.0,,0.0,5.3,5.3,5.3,0.0,2.7,2.7,2.7,32.1,,120,115
85,Haywood Highsmith,PF,26,MIA,18,0,161,7.6,12.3,.615,2.5,5.0,.500,5.0,7.3,.696,1.3,1.6,.800,3.2,4.4,7.6,1.6,3.2,0.6,0.6,6.3,18.9,,146,110
86,Aaron Holiday,PG,26,ATL,1,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,11.9,0.0,0.0,11.9,0.0,0.0,,46,129
87,Jrue Holiday,PG,32,MIL,5,5,191,8.4,20.9,.400,3.0,10.3,.286,5.4,10.6,.512,2.2,3.2,.692,1.0,7.1,8.1,9.8,1.2,0.5,3.0,3.0,21.9,,108,119
88,Al Horford,C,36,BOS,20,20,617,4.2,10.8,.386,2.3,7.7,.298,1.9,3.1,.605,0.2,0.3,.750,2.5,9.3,11.7,4.8,1.8,2.8,0.9,3.8,10.9,,119,109
89,Danuel House Jr.,SF,29,PHI,7,0,42,11.3,26.3,.429,1.3,12.5,.100,10.0,13.8,.727,1.3,1.3,1.000,0.0,15.0,15.0,1.3,0.0,0.0,1.3,5.0,25.0,,93,115
90,Kevin Huerter,SG,24,SAC,7,7,183,6.4,18.4,.347,2.0,10.0,.205,4.3,8.4,.515,1.5,2.0,.750,0.3,7.7,7.9,2.0,0.8,2.3,1.0,5.9,16.3,,93,112
91,De'Andre Hunter,SF,25,ATL,6,6,224,8.3,18.1,.459,3.0,8.1,.368,5.3,10.0,.532,1.7,2.1,.800,1.5,5.7,7.2,1.5,0.9,0.4,1.9,4.3,21.3,,109,123
92,Bones Hyland,PG,22,LAC,5,0,82,8.9,26.1,.341,3.0,11.9,.250,5.9,14.2,.417,4.7,5.9,.800,0.6,1.8,2.4,2.4,2.4,0.6,2.4,5.3,25.5,,93,124
93,Joe Ingles,SF,35,MIL,5,0,89,6.3,12.1,.522,5.3,10.6,.500,1.1,1.6,.667,0.0,0.0,,0.5,2.6,3.2,5.3,1.6,0.5,3.2,3.7,18.0,,121,120
94,Jaren Jackson Jr.,C,23,MEM,6,6,220,7.7,18.3,.422,1.5,5.5,.280,6.2,12.8,.483,6.8,7.9,.861,4.4,6.0,10.4,2.0,1.3,2.6,4.0,5.3,23.8,,105,110
95,Reggie Jackson,PG,32,DEN,6,0,18,2.8,5.6,.500,2.8,5.6,.500,0.0,0.0,,0.0,0.0,,0.0,5.6,5.6,5.6,2.8,0.0,2.8,0.0,8.5,,114,110
96,LeBron James,PF,38,LAL,16,16,619,11.6,23.3,.498,2.2,8.4,.264,9.4,14.9,.630,5.5,7.3,.761,2.0,10.5,12.5,8.2,1.3,1.4,3.2,2.2,31.0,,118,109
97,DaQuan Jeffries,SG,25,NYK,2,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,0.0,,,117
98,Cameron Johnson,PF,26,BRK,4,4,152,9.9,19.4,.509,4.2,9.9,.429,5.6,9.5,.593,2.1,2.5,.857,1.1,7.0,8.1,3.9,1.1,0.4,1.8,3.5,26.0,,118,116
99,Jalen Johnson,SF,21,ATL,6,0,56,8.5,20.4,.417,3.4,9.4,.364,5.1,11.1,.462,1.7,1.7,1.000,1.7,11.1,12.8,6.8,2.6,0.0,4.3,4.3,22.1,,102,117
100,Nikola JokiÄ,C,27,DEN,20,20,789,14.6,26.7,.548,2.3,4.9,.461,12.4,21.8,.568,7.2,9.0,.799,4.4,12.9,17.3,12.2,1.4,1.3,4.5,4.4,38.7,,129,108
101,Tyus Jones,PG,26,MEM,6,1,120,4.4,14.6,.306,1.2,7.7,.158,3.2,6.9,.471,0.8,1.2,.667,1.2,6.1,7.3,8.9,3.2,0.0,3.2,2.0,10.9,,85,109
102,DeAndre Jordan,C,34,DEN,4,0,14,7.3,10.9,.667,0.0,0.0,,7.3,10.9,.667,3.6,7.3,.500,0.0,14.5,14.5,3.6,0.0,3.6,7.3,7.3,18.2,,85,107
103,Nikola JoviÄ,PF,19,MIA,7,0,13,3.9,15.6,.250,0.0,7.8,.000,3.9,7.8,.500,0.0,0.0,,3.9,15.6,19.5,0.0,0.0,0.0,0.0,0.0,7.8,,71,112
104,Luke Kennard,SG,26,MEM,5,0,107,5.4,10.4,.522,3.6,7.3,.500,1.8,3.2,.571,1.8,1.8,1.000,2.3,6.8,9.1,3.2,1.8,0.0,0.5,3.6,16.3,,151,111
105,Nathan Knight,C,25,MIN,2,0,5,10.2,40.8,.250,0.0,20.4,.000,10.2,20.4,.500,0.0,0.0,,10.2,0.0,10.2,0.0,0.0,0.0,10.2,0.0,20.4,,54,127
106,John Konchar,SF,26,MEM,5,0,49,2.0,8.9,.222,0.0,4.0,.000,2.0,4.9,.400,0.0,0.0,,4.0,5.9,9.9,4.0,2.0,2.0,1.0,5.9,4.0,,81,109
107,Furkan Korkmaz,SG,25,PHI,3,0,11,0.0,9.6,.000,0.0,4.8,.000,0.0,4.8,.000,9.6,9.6,1.000,0.0,4.8,4.8,4.8,0.0,0.0,4.8,0.0,9.6,,69,120
108,Luke Kornet,C,27,BOS,8,0,32,11.0,12.6,.875,1.6,1.6,1.000,9.5,11.0,.857,3.2,3.2,1.000,7.9,7.9,15.8,0.0,0.0,1.6,0.0,3.2,26.8,,200,116
109,Jonathan Kuminga,PF,20,GSW,10,0,61,10.1,18.7,.542,2.3,5.5,.429,7.8,13.2,.588,3.9,7.0,.556,3.1,3.9,7.0,3.9,1.6,0.0,3.1,3.9,26.5,,115,115
110,Anthony Lamb,SF,25,GSW,6,0,31,3.1,7.7,.400,1.5,6.1,.250,1.5,1.5,1.000,0.0,0.0,,1.5,7.7,9.2,0.0,1.5,1.5,3.1,4.6,7.7,,75,111
111,Jock Landale,C,27,PHO,7,1,113,7.4,11.8,.630,0.0,0.4,.000,7.4,11.3,.654,3.9,6.1,.643,4.4,7.8,12.2,1.3,1.3,1.3,0.9,6.5,18.7,,136,118
112,Damion Lee,SG,30,PHO,8,0,89,3.3,11.1,.300,1.7,8.3,.200,1.7,2.8,.600,1.1,1.1,1.000,2.2,3.9,6.1,2.8,1.1,0.0,0.6,4.4,9.4,,102,123
113,Alex Len,C,29,SAC,7,0,54,6.1,7.8,.778,0.0,0.0,,6.1,7.8,.778,4.3,5.2,.833,6.1,11.2,17.3,0.9,0.0,2.6,6.1,13.0,16.4,,109,111
114,Kawhi Leonard,SF,31,LAC,2,2,80,14.6,26.7,.545,3.6,6.1,.600,10.9,20.7,.529,9.1,10.3,.882,1.8,6.1,7.9,7.3,2.4,0.6,3.6,3.0,41.9,,132,122
115,Meyers Leonard,C,30,MIL,2,0,5,0.0,9.4,.000,0.0,0.0,,0.0,9.4,.000,0.0,0.0,,0.0,9.4,9.4,0.0,0.0,0.0,0.0,0.0,0.0,,0,122
116,Caris LeVert,SG,28,CLE,5,3,170,8.4,19.5,.429,4.0,11.2,.361,4.3,8.4,.519,2.5,4.0,.615,1.2,5.9,7.1,4.0,0.6,0.3,1.5,3.1,23.2,,111,112
117,Kenneth Lofton Jr.,PF,20,MEM,4,0,12,12.1,32.3,.375,0.0,8.1,.000,12.1,24.3,.500,4.0,8.1,.500,4.0,8.1,12.1,4.0,0.0,0.0,0.0,0.0,28.3,,94,115
118,Kevon Looney,C,26,GSW,13,8,325,5.4,9.4,.578,0.0,0.0,,5.4,9.4,.578,1.5,2.6,.556,8.9,15.9,24.9,6.3,1.2,0.7,1.9,5.3,12.3,,137,107
119,Brook Lopez,C,34,MIL,5,5,182,10.1,17.3,.582,1.8,4.4,.412,8.3,12.9,.640,2.6,3.4,.769,3.6,4.6,8.3,1.5,1.8,2.3,2.8,2.6,24.5,,119,116
120,Robin Lopez,C,34,CLE,2,0,6,26.3,26.3,1.000,0.0,0.0,,26.3,26.3,1.000,17.6,17.6,1.000,8.8,0.0,8.8,0.0,0.0,0.0,8.8,17.6,70.2,,155,118
121,Kevin Love,PF,34,MIA,20,18,359,6.4,16.8,.378,4.7,12.4,.375,1.7,4.4,.387,2.0,2.3,.875,2.0,13.7,15.7,3.4,1.3,1.0,1.4,4.9,19.4,,113,108
122,Kyle Lowry,PG,36,MIA,23,1,599,6.3,14.7,.425,2.8,7.5,.375,3.5,7.3,.477,2.6,2.8,.939,1.0,5.8,6.9,8.6,2.0,1.2,3.4,5.0,18.0,,111,111
