Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
202,Dean Wade,PF,26,CLE,2,0,11,0,1,.000,0,1,.000,0,0,,.000,2,2,1.000,0,3,3,0,0,0,0,0,2
203,Ish Wainright,SF,28,PHO,6,0,21,1,4,.250,1,4,.250,0,0,,.375,0,0,,0,1,1,0,0,1,0,2,3
204,Lonnie Walker IV,SG,24,LAL,13,0,179,29,60,.483,13,34,.382,16,26,.615,.592,9,12,.750,1,11,12,11,7,1,4,16,80
205,T.J. Warren,SF,29,PHO,6,0,81,6,19,.316,1,7,.143,5,12,.417,.342,3,4,.750,2,5,7,3,1,3,1,5,16
206,Yuta Watanabe,SF,28,BRK,1,0,5,1,2,.500,1,2,.500,0,0,,.750,0,2,.000,0,1,1,0,0,0,1,0,3
207,Peyton Watson,SG,20,DEN,5,0,14,2,5,.400,1,2,.500,1,3,.333,.500,0,0,,1,3,4,1,0,1,1,2,5
208,Russell Westbrook,PG,34,LAC,5,5,192,43,105,.410,10,28,.357,33,77,.429,.457,22,25,.880,9,29,38,37,6,7,20,15,118
209,Derrick White,SG,28,BOS,20,16,593,93,184,.505,50,110,.455,43,74,.581,.641,31,34,.912,13,46,59,42,12,20,18,38,267
210,Andrew Wiggins,SF,27,GSW,13,12,442,83,181,.459,19,64,.297,64,117,.547,.511,32,47,.681,24,49,73,25,11,15,17,45,217
211,Grant Williams,PF,24,BOS,15,0,265,25,53,.472,18,40,.450,7,13,.538,.642,8,10,.800,11,22,33,18,5,6,4,25,76
212,Robert Williams,C,25,BOS,20,4,417,67,85,.788,0,1,.000,67,84,.798,.788,19,28,.679,36,83,119,19,9,25,16,44,153
213,Ziaire Williams,SF,21,MEM,4,0,12,2,7,.286,1,3,.333,1,4,.250,.357,0,0,,0,2,2,2,0,0,2,1,5
214,Trae Young,PG,24,ATL,6,6,230,60,149,.403,18,54,.333,42,95,.442,.463,37,43,.860,5,17,22,61,10,4,24,11,175
215,Omer Yurtseven,C,24,MIA,8,0,16,2,7,.286,0,2,.000,2,5,.400,.286,0,0,,3,2,5,1,0,1,1,2,4
216,Cody Zeller,C,30,MIA,21,0,174,20,35,.571,0,0,,20,35,.571,.571,6,15,.400,11,37,48,7,2,4,13,28,46
217,Ivica Zubac,C,25,LAC,5,5,130,17,30,.567,0,0,,17,30,.567,.567,12,16,.750,16,32,48,3,3,1,11,8,46
